Max Humidity,Avg Humidity,Min Humidity,Max Wind Speed,Avg Wind Speed,Min Wind Speed,Max Temperature (C),Avg Temperature (C),Min Temperature (C),Max Dew Point (C),Avg Dew Point (C),Min Dew Point (C),Date,DayOfWeek,IsWeekend,TempChange_Max,TempChange_Min,TempChange_Avg,TempChange_Avg_3,Humidity_Diff,DewPoint_Diff,Rolling_Avg_Temp_3,Rolling_Avg_Temp_7,Rolling_Avg_Humidity_7
100.0,79.7,52.0,49.0,3.0,0.0,18.89,13.44,8.89,12.22,9.61,8.89,2024-01-01,6,1,1.1099999999999994,-2.219999999999999,-0.8399999999999999,-0.5933333333333337,48.0,3.33,14.406666666666672,13.03,81.02857142857144
100.0,90.4,63.0,6.0,2.4,0.0,17.22,12.0,8.89,12.22,10.28,8.89,2024-01-02,0,0,-1.6700000000000017,0.0,-1.4399999999999995,-1.1666666666666667,37.0,3.33,13.240000000000004,13.482857142857142,80.04285714285713
100.0,86.2,67.0,7.0,4.6,0.0,13.89,10.83,7.78,10.0,8.28,7.22,2024-01-03,1,0,-3.3299999999999983,-1.1100000000000003,-1.17,-1.1499999999999997,33.0,2.78,12.090000000000003,13.554285714285715,79.67142857142858
100.0,91.3,72.0,7.0,3.4,0.0,12.78,9.44,7.22,10.0,7.94,7.22,2024-01-04,2,0,-1.1100000000000012,-0.5600000000000005,-1.3900000000000006,-1.3333333333333333,28.0,2.78,10.75666666666667,12.95857142857143,82.15714285714286
100.0,92.1,72.0,5.0,1.5,0.0,12.78,8.67,7.22,10.0,7.28,6.11,2024-01-05,3,0,0.0,0.0,-0.7699999999999996,-1.11,28.0,3.89,9.64666666666667,12.022857142857143,85.62857142857142
100.0,88.6,55.0,7.0,2.5,0.0,13.89,8.67,5.0,7.78,6.72,5.0,2024-01-06,4,0,1.1100000000000012,-2.22,0.0,-0.7200000000000001,45.0,2.78,8.926666666666671,11.047142857142855,87.22857142857143
100.0,89.0,63.0,7.0,4.3,0.0,13.89,8.28,3.89,8.89,6.39,3.89,2024-01-07,5,1,0.0,-1.11,-0.3900000000000005,-0.3866666666666667,37.0,5.0,8.540000000000004,10.19,88.18571428571428
100.0,92.5,67.0,6.0,2.3,0.0,15.0,9.56,6.11,11.11,8.22,5.0,2024-01-08,6,1,1.1099999999999994,2.22,1.2800000000000011,0.2966666666666668,33.0,6.109999999999999,8.836666666666671,9.635714285714286,90.01428571428572
100.0,93.6,77.0,6.0,1.8,0.0,16.11,10.83,7.22,12.78,9.89,7.22,2024-01-09,0,0,1.1099999999999994,1.1099999999999994,1.2699999999999996,0.7200000000000001,23.0,5.56,9.556666666666672,9.468571428571428,90.47142857142858
100.0,89.3,59.0,7.0,4.7,2.0,17.22,11.17,7.22,12.22,9.22,7.22,2024-01-10,1,0,1.1099999999999994,0.0,0.3399999999999998,0.9633333333333336,41.0,5.000000000000001,10.520000000000003,9.517142857142858,90.91428571428573
100.0,89.0,52.0,12.0,6.2,0.0,20.0,12.39,7.78,12.78,10.33,7.22,2024-01-11,2,0,2.780000000000001,0.5600000000000005,1.2200000000000006,0.9433333333333334,48.0,5.56,11.463333333333338,9.93857142857143,90.58571428571427
100.0,89.7,60.0,8.0,5.4,3.0,20.0,14.39,10.0,15.0,12.5,10.0,2024-01-12,3,0,0.0,2.22,2.0,1.1866666666666668,40.0,5.0,12.650000000000006,10.755714285714287,90.24285714285716
100.0,93.4,73.0,10.0,6.5,0.0,20.0,15.0,12.22,17.22,13.78,12.22,2024-01-13,4,0,0.0,2.2200000000000006,0.6099999999999994,1.2766666666666666,27.0,4.999999999999998,13.926666666666671,11.66,90.92857142857144
100.0,82.4,51.0,12.0,7.7,5.0,17.22,11.61,5.0,12.22,8.33,3.89,2024-01-14,5,1,-2.780000000000001,-7.220000000000001,-3.390000000000001,-0.2600000000000004,49.0,8.33,13.666666666666671,12.135714285714286,89.98571428571428
93.0,55.5,23.0,12.0,5.0,0.0,16.11,10.44,5.0,3.89,0.56,-5.0,2024-01-15,6,1,-1.1099999999999994,0.0,-1.17,-1.316666666666667,70.0,8.89,12.350000000000003,12.26142857142857,84.7
93.0,60.6,30.0,8.0,3.9,0.0,17.22,11.17,5.0,7.22,2.67,-1.11,2024-01-16,0,0,1.1099999999999994,0.0,0.7300000000000004,-1.2766666666666666,63.0,8.33,11.073333333333338,12.31,79.98571428571428
93.0,52.8,21.0,9.0,3.4,0.0,17.78,11.06,6.11,5.0,0.11,-5.0,2024-01-17,1,0,0.5600000000000023,1.1100000000000003,-0.1099999999999994,-0.183333333333333,72.0,10.0,10.890000000000006,12.294285714285715,74.77142857142857
87.0,54.9,24.0,7.0,2.1,0.0,17.78,11.78,6.11,5.0,1.89,-2.78,2024-01-18,2,0,0.0,0.0,0.7199999999999989,0.4466666666666666,63.0,7.779999999999999,11.336666666666671,12.207142857142856,69.9
71.0,49.7,26.0,8.0,3.3,0.0,20.0,15.17,8.89,7.22,4.0,0.0,2024-01-19,3,0,2.219999999999999,2.78,3.390000000000001,1.3333333333333333,45.0,7.22,12.670000000000003,12.318571428571428,64.18571428571428
94.0,64.1,26.0,9.0,4.2,0.0,22.22,15.44,8.89,12.22,8.11,0.0,2024-01-20,4,0,2.219999999999999,2.78,0.2699999999999996,1.4599999999999995,45.0,7.22,14.130000000000004,12.38142857142857,60.0
